scope,seed,confidence_cut,system,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,false_abstention_rate,held_out_category,fold_seed
loco_uncertain_subset,42,0.55,seven_signal_moe_predicted,6,3,3,0.6666666666666666,0.0,1.0,1.0,Gender_identity,3069
loco_uncertain_subset,42,0.6,simple_condition_only,15,8,7,0.625,0.14285714285714285,1.0,0.8571428571428571,Gender_identity,3069
loco_uncertain_subset,42,0.6,hybrid_uncertain_signal_fallback,15,8,7,0.625,0.14285714285714285,1.0,0.8571428571428571,Gender_identity,3069
loco_uncertain_subset,42,0.6,seven_signal_moe_predicted,15,8,7,0.625,0.14285714285714285,1.0,0.8571428571428571,Gender_identity,3069
loco_uncertain_subset,42,0.7,simple_condition_only,28,13,15,0.7692307692307693,0.4,1.0,0.6,Gender_identity,3069
loco_uncertain_subset,42,0.7,hybrid_uncertain_signal_fallback,28,13,15,0.7692307692307693,0.4,1.0,0.6,Gender_identity,3069
loco_uncertain_subset,42,0.7,seven_signal_moe_predicted,28,13,15,0.7692307692307693,0.4,1.0,0.6,Gender_identity,3069
loco_uncertain_subset,42,0.8,simple_condition_only,44,21,23,0.7619047619047619,0.43478260869565216,1.0,0.5652173913043478,Gender_identity,3069
loco_uncertain_subset,42,0.8,hybrid_uncertain_signal_fallback,44,21,23,0.7619047619047619,0.43478260869565216,1.0,0.5652173913043478,Gender_identity,3069
loco_uncertain_subset,42,0.8,seven_signal_moe_predicted,44,21,23,0.7619047619047619,0.43478260869565216,1.0,0.5652173913043478,Gender_identity,3069
loco_uncertain_subset,42,0.9,simple_condition_only,70,30,40,0.8333333333333334,0.4,1.0,0.6,Gender_identity,3069
loco_uncertain_subset,42,0.9,hybrid_uncertain_signal_fallback,70,30,40,0.8333333333333334,0.4,1.0,0.6,Gender_identity,3069
loco_uncertain_subset,42,0.9,seven_signal_moe_predicted,70,30,40,0.8333333333333334,0.4,1.0,0.6,Gender_identity,3069
loco_uncertain_subset,42,0.55,simple_condition_only,8,4,4,0.75,0.5,1.0,0.5,Nationality,4078
loco_uncertain_subset,42,0.55,hybrid_uncertain_signal_fallback,8,4,4,0.5,1.0,1.0,0.0,Nationality,4078
loco_uncertain_subset,42,0.55,seven_signal_moe_predicted,8,4,4,0.75,0.5,1.0,0.5,Nationality,4078
loco_uncertain_subset,42,0.6,simple_condition_only,16,9,7,0.6666666666666666,0.42857142857142855,0.33333333333333326,0.42857142857142855,Nationality,4078
loco_uncertain_subset,42,0.6,hybrid_uncertain_signal_fallback,16,9,7,0.5555555555555556,0.8571428571428571,0.5,0.0,Nationality,4078
loco_uncertain_subset,42,0.6,seven_signal_moe_predicted,16,9,7,0.6666666666666666,0.42857142857142855,0.33333333333333326,0.42857142857142855,Nationality,4078
loco_uncertain_subset,42,0.7,simple_condition_only,42,19,23,0.7368421052631579,0.43478260869565216,0.19999999999999996,0.5217391304347826,Nationality,4078
loco_uncertain_subset,42,0.7,hybrid_uncertain_signal_fallback,42,19,23,0.5263157894736842,0.8695652173913043,0.11111111111111116,0.043478260869565216,Nationality,4078
loco_uncertain_subset,42,0.7,seven_signal_moe_predicted,42,19,23,0.7368421052631579,0.43478260869565216,0.19999999999999996,0.5217391304347826,Nationality,4078
loco_uncertain_subset,42,0.8,simple_condition_only,70,36,34,0.6388888888888888,0.47058823529411764,-0.23076923076923073,0.5,Nationality,4078
loco_uncertain_subset,42,0.8,hybrid_uncertain_signal_fallback,70,36,34,0.5277777777777778,0.7647058823529411,-0.17647058823529416,0.17647058823529413,Nationality,4078
loco_uncertain_subset,42,0.8,seven_signal_moe_predicted,70,36,34,0.6388888888888888,0.47058823529411764,-0.23076923076923073,0.5,Nationality,4078
loco_uncertain_subset,42,0.9,simple_condition_only,105,56,49,0.5357142857142857,0.5102040816326531,0.0,0.4489795918367347,Nationality,4078
loco_uncertain_subset,42,0.9,hybrid_uncertain_signal_fallback,105,56,49,0.4642857142857143,0.7142857142857143,0.0,0.22448979591836735,Nationality,4078
loco_uncertain_subset,42,0.9,seven_signal_moe_predicted,105,56,49,0.5357142857142857,0.5102040816326531,0.0,0.4489795918367347,Nationality,4078
loco_uncertain_subset,42,0.55,simple_condition_only,11,3,8,0.6666666666666666,0.5,1.0,0.5,Physical_appearance,5087
loco_uncertain_subset,42,0.55,hybrid_uncertain_signal_fallback,11,3,8,0.6666666666666666,0.5,1.0,0.5,Physical_appearance,5087
loco_uncertain_subset,42,0.55,seven_signal_moe_predicted,11,3,8,0.6666666666666666,0.5,1.0,0.5,Physical_appearance,5087
loco_uncertain_subset,42,0.6,simple_condition_only,26,10,16,0.4,0.375,1.0,0.625,Physical_appearance,5087
loco_uncertain_subset,42,0.6,hybrid_uncertain_signal_fallback,26,10,16,0.4,0.375,1.0,0.625,Physical_appearance,5087
loco_uncertain_subset,42,0.6,seven_signal_moe_predicted,26,10,16,0.4,0.5625,1.0,0.4375,Physical_appearance,5087
loco_uncertain_subset,42,0.7,simple_condition_only,47,17,30,0.47058823529411764,0.26666666666666666,1.0,0.7333333333333333,Physical_appearance,5087
loco_uncertain_subset,42,0.7,hybrid_uncertain_signal_fallback,47,17,30,0.47058823529411764,0.26666666666666666,1.0,0.7333333333333333,Physical_appearance,5087
loco_uncertain_subset,42,0.7,seven_signal_moe_predicted,47,17,30,0.47058823529411764,0.5333333333333333,1.0,0.4666666666666667,Physical_appearance,5087
loco_uncertain_subset,42,0.8,simple_condition_only,74,27,47,0.5555555555555556,0.2553191489361702,1.0,0.6808510638297872,Physical_appearance,5087
loco_uncertain_subset,42,0.8,hybrid_uncertain_signal_fallback,74,27,47,0.5555555555555556,0.2553191489361702,1.0,0.6808510638297872,Physical_appearance,5087
loco_uncertain_subset,42,0.8,seven_signal_moe_predicted,74,27,47,0.5555555555555556,0.46808510638297873,1.0,0.46808510638297873,Physical_appearance,5087
loco_uncertain_subset,42,0.9,simple_condition_only,114,44,70,0.5909090909090909,0.3142857142857143,1.0,0.6285714285714286,Physical_appearance,5087
loco_uncertain_subset,42,0.9,hybrid_uncertain_signal_fallback,114,44,70,0.5909090909090909,0.3142857142857143,1.0,0.6285714285714286,Physical_appearance,5087
loco_uncertain_subset,42,0.9,seven_signal_moe_predicted,114,44,70,0.5909090909090909,0.5142857142857142,1.0,0.42857142857142855,Physical_appearance,5087
loco_uncertain_subset,42,0.55,simple_condition_only,5,4,1,1.0,1.0,,0.0,Race_ethnicity,6096
loco_uncertain_subset,42,0.55,hybrid_uncertain_signal_fallback,5,4,1,1.0,1.0,,0.0,Race_ethnicity,6096
loco_uncertain_subset,42,0.55,seven_signal_moe_predicted,5,4,1,1.0,1.0,,0.0,Race_ethnicity,6096
loco_uncertain_subset,42,0.6,simple_condition_only,17,14,3,0.8571428571428571,0.6666666666666666,0.0,0.3333333333333333,Race_ethnicity,6096
loco_uncertain_subset,42,0.6,hybrid_uncertain_signal_fallback,17,14,3,0.8571428571428571,0.6666666666666666,0.0,0.3333333333333333,Race_ethnicity,6096
loco_uncertain_subset,42,0.6,seven_signal_moe_predicted,17,14,3,0.8571428571428571,0.6666666666666666,0.0,0.3333333333333333,Race_ethnicity,6096
loco_uncertain_subset,42,0.7,simple_condition_only,26,19,7,0.8947368421052632,0.5714285714285714,0.0,0.2857142857142857,Race_ethnicity,6096
