scope,seed,system,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,false_abstention_rate,held_out_category,fold_seed,condition_accuracy,conf_threshold,tau_risk
loco,42,seven_signal_moe_predicted,1000,500,500,0.942,0.784,0.6551724137931034,0.122,Religion,7105,,,
loco,42,simple_condition_only,1000,500,500,0.996,0.902,1.0,0.076,SES,8114,0.965,,
loco,42,hybrid_uncertain_signal_fallback,1000,500,500,0.994,0.908,1.0,0.07,SES,8114,0.965,0.6,0.0
loco,42,seven_signal_moe_predicted,1000,500,500,0.984,0.93,1.0,0.048,SES,8114,,,
loco,42,simple_condition_only,864,432,432,0.9629629629629629,0.8657407407407407,0.25,0.09027777777777778,Sexual_orientation,9123,0.9212962962962963,,
loco,42,hybrid_uncertain_signal_fallback,864,432,432,0.9629629629629629,0.8657407407407407,0.25,0.09027777777777778,Sexual_orientation,9123,0.9212962962962963,0.5,0.0
loco,42,seven_signal_moe_predicted,864,432,432,0.9629629629629629,0.8657407407407407,0.25,0.09027777777777778,Sexual_orientation,9123,,,
loco,123,simple_condition_only,1000,500,500,0.978,0.818,0.6363636363636365,0.11,Age,1132,0.943,,
loco,123,hybrid_uncertain_signal_fallback,1000,500,500,0.976,0.82,0.6666666666666667,0.106,Age,1132,0.943,0.55,0.0
loco,123,seven_signal_moe_predicted,1000,500,500,0.978,0.818,0.6363636363636365,0.11,Age,1132,,,
loco,123,simple_condition_only,1000,500,500,1.0,0.762,,0.21,Disability_status,2141,0.929,,
loco,123,hybrid_uncertain_signal_fallback,1000,500,500,1.0,0.762,,0.21,Disability_status,2141,0.929,0.5,0.0
loco,123,seven_signal_moe_predicted,1000,500,500,0.974,0.812,0.23076923076923084,0.16,Disability_status,2141,,,
loco,123,simple_condition_only,1000,500,500,0.99,0.794,1.0,0.148,Gender_identity,3150,0.944,,
loco,123,hybrid_uncertain_signal_fallback,1000,500,500,0.99,0.794,1.0,0.148,Gender_identity,3150,0.944,0.5,0.0
loco,123,seven_signal_moe_predicted,1000,500,500,0.936,0.814,0.3125,0.126,Gender_identity,3150,,,
loco,123,simple_condition_only,1000,500,500,0.874,0.88,-0.23809523809523814,0.102,Nationality,4159,0.881,,
loco,123,hybrid_uncertain_signal_fallback,1000,500,500,0.874,0.88,-0.23809523809523814,0.102,Nationality,4159,0.881,0.5,0.0
loco,123,seven_signal_moe_predicted,1000,500,500,0.874,0.88,-0.23809523809523814,0.102,Nationality,4159,,,
loco,123,simple_condition_only,1000,500,500,0.9,0.694,0.9199999999999999,0.196,Physical_appearance,5168,0.899,,
loco,123,hybrid_uncertain_signal_fallback,1000,500,500,0.9,0.694,0.9199999999999999,0.196,Physical_appearance,5168,0.899,0.5,0.0
loco,123,seven_signal_moe_predicted,1000,500,500,0.9,0.694,0.9199999999999999,0.196,Physical_appearance,5168,,,
loco,123,simple_condition_only,1000,500,500,0.95,0.936,0.6799999999999999,0.038,Race_ethnicity,6177,0.909,,
loco,123,hybrid_uncertain_signal_fallback,1000,500,500,0.95,0.936,0.6799999999999999,0.038,Race_ethnicity,6177,0.909,0.5,0.0
