seed,scorer,coverage,risk,accuracy
42,moe_retention,0.6,0.02132998745294856,0.9786700125470514
42,moe_retention,0.7,0.053763440860215055,0.946236559139785
42,moe_retention,0.8,0.11958568738229755,0.8804143126177024
42,moe_retention,0.9,0.20167364016736403,0.798326359832636
42,moe_retention,1.0,0.28012048192771083,0.7198795180722892
123,chosen_softmax,0.1,0.007518796992481203,0.9924812030075187
123,chosen_softmax,0.2,0.02631578947368421,0.9736842105263158
123,chosen_softmax,0.3,0.06030150753768844,0.9396984924623115
123,chosen_softmax,0.4,0.08662900188323917,0.9133709981167608
123,chosen_softmax,0.5,0.10692771084337349,0.8930722891566265
123,chosen_softmax,0.6,0.13676286072772897,0.8632371392722711
123,chosen_softmax,0.7,0.16774193548387098,0.832258064516129
123,chosen_softmax,0.8,0.2033898305084746,0.7966101694915254
123,chosen_softmax,0.9,0.23514644351464434,0.7648535564853557
123,chosen_softmax,1.0,0.26656626506024095,0.733433734939759
123,unknown_inverse,0.1,0.022556390977443608,0.9774436090225564
123,unknown_inverse,0.2,0.07518796992481203,0.924812030075188
123,unknown_inverse,0.3,0.10552763819095477,0.8944723618090452
123,unknown_inverse,0.4,0.1807909604519774,0.8192090395480226
123,unknown_inverse,0.5,0.23644578313253012,0.7635542168674698
123,unknown_inverse,0.6,0.2986198243412798,0.7013801756587201
123,unknown_inverse,0.7,0.34086021505376346,0.6591397849462366
123,unknown_inverse,0.8,0.3182674199623352,0.6817325800376648
123,unknown_inverse,0.9,0.28870292887029286,0.7112970711297071
123,unknown_inverse,1.0,0.26656626506024095,0.733433734939759
123,condition_disambig_prob,0.1,0.06015037593984962,0.9398496240601504
123,condition_disambig_prob,0.2,0.05639097744360902,0.943609022556391
123,condition_disambig_prob,0.3,0.07537688442211055,0.9246231155778895
123,condition_disambig_prob,0.4,0.10734463276836158,0.8926553672316384
123,condition_disambig_prob,0.5,0.11746987951807229,0.8825301204819277
123,condition_disambig_prob,0.6,0.17314930991217065,0.8268506900878294
123,condition_disambig_prob,0.7,0.2021505376344086,0.7978494623655914
123,condition_disambig_prob,0.8,0.2288135593220339,0.771186440677966
123,condition_disambig_prob,0.9,0.24518828451882846,0.7548117154811715
123,condition_disambig_prob,1.0,0.26656626506024095,0.733433734939759
123,moe_retention,0.1,0.0,1.0
123,moe_retention,0.2,0.015037593984962405,0.9849624060150376
123,moe_retention,0.3,0.020100502512562814,0.9798994974874372
123,moe_retention,0.4,0.02824858757062147,0.9717514124293786
123,moe_retention,0.5,0.024096385542168676,0.9759036144578314
123,moe_retention,0.6,0.03638644918444166,0.9636135508155583
123,moe_retention,0.7,0.06666666666666667,0.9333333333333333
123,moe_retention,0.8,0.11487758945386065,0.8851224105461394
123,moe_retention,0.9,0.18661087866108786,0.8133891213389122
123,moe_retention,1.0,0.26656626506024095,0.733433734939759
456,chosen_softmax,0.1,0.0,1.0
456,chosen_softmax,0.2,0.022556390977443608,0.9774436090225564
456,chosen_softmax,0.3,0.04020100502512563,0.9597989949748744
456,chosen_softmax,0.4,0.09416195856873823,0.9058380414312618
456,chosen_softmax,0.5,0.11144578313253012,0.8885542168674698
456,chosen_softmax,0.6,0.1493099121706399,0.8506900878293601
456,chosen_softmax,0.7,0.1827956989247312,0.8172043010752688
456,chosen_softmax,0.8,0.22128060263653485,0.7787193973634652
456,chosen_softmax,0.9,0.2510460251046025,0.7489539748953975
456,chosen_softmax,1.0,0.2891566265060241,0.7108433734939759
456,unknown_inverse,0.1,0.007518796992481203,0.9924812030075187
456,unknown_inverse,0.2,0.03759398496240601,0.9624060150375939
456,unknown_inverse,0.3,0.08040201005025126,0.9195979899497487
456,unknown_inverse,0.4,0.17890772128060264,0.8210922787193974
456,unknown_inverse,0.5,0.2289156626506024,0.7710843373493976
456,unknown_inverse,0.6,0.31493099121706397,0.6850690087829361
456,unknown_inverse,0.7,0.3602150537634409,0.6397849462365591
456,unknown_inverse,0.8,0.3418079096045198,0.6581920903954802
456,unknown_inverse,0.9,0.31464435146443515,0.6853556485355649
456,unknown_inverse,1.0,0.2891566265060241,0.7108433734939759
456,condition_disambig_prob,0.1,0.05263157894736842,0.9473684210526316
456,condition_disambig_prob,0.2,0.05639097744360902,0.943609022556391
